E_true,E_rec
20,26.49530885702752
20,25.331880383757262
20,21.71118315366499
20,22.681203522907452
20,23.579696318170605
20,20.16548794850909
20,21.96372515404032
20,24.449422856745496
20,22.73096256074718
20,21.682918579798898
20,25.48131112431024
20,21.838775207566417
20,21.40256551681776
20,23.856859530017765
20,24.19190693991449
20,22.89530820287396
20,21.677752356301276
20,19.674409042260457
20,22.27534476068419
20,21.707424552151576
20,24.208574258730586
20,26.781716519935166
20,23.341627282387527
20,26.04152733282897
20,21.02771254957043
20,22.354836666697963
20,24.258528779591064
20,24.186304896172267
20,22.177022375793516
20,21.58401169998956
20,21.25535893403783
20,23.25085602323409
20,22.473923275035585
20,17.47020875058967
20,28.581011700000694
20,20.21162400301839
20,24.745158792133573
20,22.106542792007282
20,17.522695654666467
20,19.82238875874656
20,23.181141187882595
20,24.76010527838625
20,24.708842234901933
20,23.036445240029025
20,21.003882084739118
20,24.452486756153252
20,23.329103841449143
20,21.745993203178465
20,20.61855403546875
20,23.974675502309836
20,23.949798339596818
20,21.32068083870135
20,21.651836982641026
20,20.162353225096236
20,22.15066084303446
20,21.46630287166413
20,20.7775316173339
20,20.872462536831694
20,24.96652826666651
20,18.85854421152283
20,21.33649491636011
20,18.431790439606505
20,24.919138789355223
20,21.229713122519318
20,24.465002603959864
20,20.33097682823948
20,23.44680082269205
20,23.630942027787647
20,22.63338210916579
20,21.012909538784367
20,23.106734898369474
20,21.691061473984917
20,19.054658934437807
20,20.156899480643972
20,23.86768091087974
20,21.68593420668064
20,24.41582867596548
20,20.514851618907425
20,22.446604107140747
20,22.681682381242464
20,25.56618914324533
20,24.144716932495594
20,25.598936953662065
20,20.125995261726278
20,20.312350195418542
20,24.205810829605547
20,24.88651118861699
20,24.256433666342936
20,22.38797066457979
20,18.631217454130134
20,21.641874074691586
20,20.621642879798994
20,22.293398914624696
20,25.77327433767245
20,23.559765154607007
20,21.132973201398062
20,26.585076559261083
20,15.861901049440029
20,20.164710608380677
20,25.08490744795904
20,21.26047056994602
20,20.083559899364108
20,25.81346211917108
20,22.15090756131849
20,20.87383399497611
20,24.97176876714706
20,23.22822176316482
20,22.1495199649771
20,24.650695154686616
20,21.204765392983763
20,19.650054220302277
20,29.352902033056722
20,24.221792568563103
20,23.950880014031487
20,20.773942662107963
20,26.862344242657812
20,22.951644532798504
20,21.49761022740449
20,24.669997010174466
20,20.16401474726819
20,22.482921948308533
20,25.26816916757093
20,19.17921521918029
20,19.163208418125826
20,18.46916681847236
20,22.470125225854282
20,20.997435148383097
20,23.817156313998893
20,21.38549077655507
20,23.03335790293793
20,21.035167185240066
20,20.378462670478886
20,23.145536393994146
20,24.15389389187586
20,21.341670727067815
20,20.4239659808672
20,20.900137264652045
20,20.229819389940946
20,25.234912203541512
20,21.019880876957497
20,24.125850668234257
20,18.953390609011638
20,16.14101660611176
20,22.40681687298903
20,22.79184511586764
20,21.51378325902997
20,20.790334189751277
20,15.394311984094633
20,20.192000937936893
20,20.11171570318262
20,21.72905751549481
20,21.301326945351867
20,21.417569056582572
20,22.033690952098613
20,18.40961104563358
20,20.463595950723644
20,23.116065433756933
20,19.496379390349706
20,17.713957111627394
20,19.41333345485801
20,23.319335935542547
20,20.371949316321462
20,19.90308993566624
20,23.16283184583416
20,25.357025410028996
20,22.64754962107373
20,23.722982783720585
20,20.531944071759153
20,25.59332154531801
20,22.72024508343673
20,23.638858622096414
20,25.14575075721094
20,21.561875540876994
20,22.636015241681765
20,17.177383483099785
20,21.46102218713908
20,20.049104868742322
20,21.114270107483968
20,22.014213937317848
20,21.628052590939447
20,21.66236626393055
20,21.725131402752922
20,20.0062314307278
20,22.513469410561132
20,20.405557058119307
20,23.114080817630413
20,21.603740497136567
20,24.086422293950875
20,20.059359336069132
20,22.564073044776965
20,20.096149366197583
20,24.5007941496326
20,22.364795797677175
20,21.70525763430088
20,25.44816391595149
20,22.460651258430858
20,21.022467345867494
20,23.825481845836567
20,17.88636303718891
20,24.755253137136595
20,21.096300975530685
20,24.895857424159644
20,22.165953999207602
20,23.974694417236933
20,23.188840585961692
20,18.933972224834253
20,21.310853095770916
20,19.863694056002036
20,25.701991830442005
20,20.189120363146593
20,19.425146642090795
20,20.37567326555552
20,22.40255569790269
20,23.64145968983055
20,21.606765498728564
20,19.840364207332506
20,22.897548963835632
20,25.428379961988675
20,23.624476683775644
20,22.47813427731496
20,25.522366784194315
20,29.59218449316142
20,23.494789147290863
20,21.909312432733472
20,26.35057350938088
